,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,2000,6.429999999999999e-06,5.795654105147697e-06,102000,49,Success,5.5256222183721244e-05,6.857545534007687e-06,6.551763268285773e-06,3.0780681815580393,1,vMFNM,5,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,2000,6.429999999999999e-06,5.795654105147697e-06,102000,49,Success,4.1442166637790935e-05,4.183860321084404e-05,6.551763268285773e-06,3.0780681815580393,1,vMFNM,5,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,2000,6.429999999999999e-06,5.795654105147697e-06,102000,49,Success,3.315373331023275e-05,3.9126889153640036e-05,6.551763268285773e-06,3.0780681815580393,1,vMFNM,5,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,2000,6.429999999999999e-06,5.795654105147697e-06,102000,49,Success,2.7628111091860622e-05,3.486866351518675e-05,6.551763268285773e-06,3.0780681815580393,1,vMFNM,5,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,2000,6.429999999999999e-06,5.795654105147697e-06,102000,49,Success,2.374457219049317e-05,3.103040073059783e-05,6.49941318519777e-06,3.0780681815580393,1,vMFNM,5,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,2000,6.429999999999999e-06,5.795654105147697e-06,102000,49,Success,5.695057349625415e-05,2.7844165354903686e-05,7.768601467621235e-06,3.0780681815580393,1,vMFNM,5,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,2000,6.429999999999999e-06,5.795654105147697e-06,102000,49,Success,5.062273199667036e-05,4.292315594857053e-05,7.768601467621235e-06,3.0780681815580393,1,vMFNM,5,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,2000,6.429999999999999e-06,5.795654105147697e-06,102000,49,Success,4.556045879700332e-05,4.414138540024827e-05,7.768601467621235e-06,3.0780681815580393,1,vMFNM,5,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,2000,6.429999999999999e-06,5.795654105147697e-06,102000,49,Success,4.141859890636666e-05,4.336616397360734e-05,7.768601467621235e-06,3.0780681815580393,1,vMFNM,5,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,2000,6.429999999999999e-06,5.795654105147697e-06,102000,49,Success,3.796704899750277e-05,4.189560359527682e-05,7.768601467621235e-06,3.0780681815580393,1,vMFNM,5,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,2000,6.429999999999999e-06,5.795654105147697e-06,102000,49,Success,3.504650676692563e-05,4.018712798364805e-05,7.768601467621235e-06,3.0780681815580393,1,vMFNM,5,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,3,2000,6.429999999999999e-06,5.795654105147697e-06,102000,49,Success,3.2543184855002375e-05,3.8434149591521345e-05,7.768601467621235e-06,3.0780681815580393,1,vMFNM,5,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 5, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,4,2000,6.429999999999999e-06,7.051043154155451e-06,144000,69,Success,8.99590987050497e-06,1.2797241871529147e-05,7.435186963899974e-06,3.1666355310161913,1,vMFNM,5,1,algebraic,False,0,False
